player_id,assists,bonus,bps,clean_sheets,creativity,ea_index,element_code,end_cost,goals_conceded,goals_scored,ict_index,id,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,season,season_name,start_cost,threat,total_points,yellow_cards
379,3,8,706,12,0.0,461,58621,51,28,1,0.0,6276,0.0,2941,1,0,0,0,0,10,2015/16,50,0.0,121,7
379,6,18,640,14,570.5,0,58621,62,21,0,140.2,7018,564.0,2701,0,0,0,0,0,11,2016/17,55,264.0,142,8
380,3,12,0,9,0.0,479,39194,68,41,5,0.0,4203,0.0,3060,0,0,0,0,0,7,2012/13,65,0.0,136,7
380,1,15,132,10,0.0,244,39194,69,25,0,0.0,4907,0.0,2003,0,0,0,0,0,8,2013/14,70,0.0,91,4
380,0,11,576,7,0.0,395,39194,58,44,1,0.0,5572,0.0,2811,0,0,0,0,0,9,2014/15,60,0.0,90,6
380,0,7,585,9,0.0,335,39194,54,29,0,0.0,6277,0.0,2594,1,0,0,0,0,10,2015/16,55,0.0,87,5
380,0,8,733,15,121.1,0,39194,58,21,0,105.1,7019,790.8,2894,0,0,0,0,0,11,2016/17,55,138.0,126,5
381,2,6,0,8,0.0,381,115556,44,48,1,0.0,4240,0.0,3052,0,0,0,0,0,7,2012/13,40,0.0,99,5
381,1,12,179,6,0.0,390,115556,48,46,2,0.0,4898,0.0,2874,0,0,0,0,0,8,2013/14,50,0.0,99,3
381,1,2,160,2,0.0,126,115556,44,12,0,0.0,5598,0.0,895,0,0,0,0,0,9,2014/15,50,0.0,31,3
381,2,2,269,5,0.0,192,115556,40,16,0,0.0,6279,0.0,1291,0,0,0,0,0,10,2015/16,45,0.0,52,3
381,3,5,443,8,449.6,0,115556,50,13,1,105.8,7020,452.0,1739,0,0,0,0,0,11,2016/17,50,156.0,90,1
382,4,11,693,10,0.0,506,77794,48,53,0,0.0,5473,0.0,3415,1,0,0,0,0,9,2014/15,50,0.0,118,2
382,1,3,119,1,0.0,110,77794,49,4,1,0.0,6283,0.0,459,0,0,0,0,0,10,2015/16,55,0.0,26,1
382,5,7,202,3,185.6,0,77794,47,3,0,40.6,7021,183.8,568,0,0,0,0,0,11,2016/17,50,35.0,51,1
383,0,1,178,4,0.0,131,97485,46,6,0,0.0,6284,0.0,812,0,0,0,0,0,10,2015/16,50,0.0,33,2
383,0,0,26,0,14.4,0,97485,45,4,0,5.4,7022,39.4,357,1,0,0,0,0,11,2016/17,50,0.0,2,3
384,3,12,452,6,0.0,346,93264,46,37,2,0.0,5630,0.0,2293,0,0,0,0,0,9,2014/15,50,0.0,93,4
384,2,3,676,12,0.0,526,93264,54,35,3,0.0,6280,0.0,3263,0,0,0,0,0,10,2015/16,50,0.0,130,10
384,0,4,505,16,223.8,0,93264,50,24,2,120.7,7271,663.6,3043,0,0,0,0,0,11,2016/17,55,315.0,93,6
385,3,15,0,7,0.0,0,39104,47,27,3,0.0,2923,0.0,1916,0,0,0,0,0,5,2010/11,55,0.0,81,0
385,3,8,0,10,0.0,417,39104,52,39,2,0.0,3881,0.0,2936,0,0,0,0,0,6,2011/12,55,0.0,86,6
385,2,4,0,9,0.0,375,39104,58,27,1,0.0,4339,0.0,2377,0,0,0,0,0,7,2012/13,60,0.0,78,4
385,2,6,99,8,0.0,333,39104,51,20,1,0.0,5146,0.0,1818,0,0,0,0,0,8,2013/14,55,0.0,65,5
385,2,2,259,2,0.0,202,39104,50,22,1,0.0,5837,0.0,1146,0,0,0,0,0,9,2014/15,55,0.0,49,1
385,1,8,558,12,0.0,473,39104,51,18,3,0.0,6531,0.0,2265,0,0,0,0,0,10,2015/16,55,0.0,89,3
385,2,6,456,11,409.7,0,39104,54,17,1,94.2,7272,407.2,2056,0,0,0,0,0,11,2016/17,55,121.0,76,5
386,1,0,12,0,0.0,55,62974,73,12,0,0.0,5203,0.0,331,0,0,0,0,0,8,2013/14,90,0.0,14,1
